user_id,dominant_hour,dominant_hour_pct,has_consistent_pattern,morning_pct,lunch_pct,evening_pct,hourly_entropy,weekend_ratio,weekend_tx_count,weekday_tx_count,weekend_anomaly,month_end_tx_ratio,salary_receipt_ratio,school_fee_total,school_fee_flag,roll_1h_count,roll_24h_count,roll_24h_volume,roll_7d_avg_value,roll_30d_volume,roll_30d_count,total_tx_count,avg_tx_value
CUST_000239,15,28.5714,false,0.0,0.0,14.2857,2.2359,0.0,0,7,false,0.0,0.0,0.0,false,1,2,2001.21,3192.26,17339.13,7,7,2477.02
CUST_000143,9,25.0,false,0.0,16.6667,16.6667,3.0221,0.1667,2,10,false,0.0,0.0,0.0,false,1,1,1388.09,843.09,13076.56,12,12,1089.71
CUST_000477,21,22.2222,false,0.0,0.0,11.1111,2.7255,0.1111,1,8,false,0.2222,0.1111,0.0,false,1,2,9083.32,2613.87,32506.6,9,9,3611.84
CUST_000339,12,16.6667,false,0.0,16.6667,22.2222,3.0441,0.1111,2,16,false,0.1111,0.0556,0.0,false,1,1,423.67,867.5,26662.72,18,18,1481.26
CUST_000165,18,22.2222,false,0.0,0.0,22.2222,2.7255,0.2222,2,7,false,0.1111,0.1111,0.0,false,1,1,832.08,772.94,38150.97,9,9,4239.0
CUST_000117,9,20.0,false,0.0,0.0,26.6667,3.1899,0.0667,1,14,false,0.1333,0.0,0.0,false,1,2,1042.97,1074.63,20311.86,15,15,1354.12
CUST_000850,20,11.1111,false,0.0,11.1111,33.3333,3.1699,0.0,0,9,false,0.0,0.0,0.0,false,1,1,551.04,3543.01,12754.59,9,9,1417.18
CUST_000547,19,25.0,false,0.0,12.5,37.5,2.75,0.125,1,7,false,0.25,0.125,0.0,false,1,1,1083.71,1698.42,13717.52,8,8,1714.69
CUST_000978,17,25.0,false,0.0,12.5,25.0,2.5,0.125,1,7,false,0.0,0.0,0.0,false,1,1,794.89,794.89,7312.97,8,8,914.12
CUST_000653,15,18.1818,false,18.1818,0.0,27.2727,3.0958,0.1818,2,9,false,0.2727,0.0,0.0,false,1,3,2979.71,581.15,7007.87,11,11,637.08
CUST_000998,9,22.2222,false,0.0,0.0,22.2222,2.7255,0.0,0,9,false,0.4444,0.2222,0.0,false,1,4,43109.85,8919.05,47570.98,9,9,5285.66
CUST_000453,18,37.5,false,0.0,12.5,50.0,2.1556,0.0,0,8,false,0.125,0.0,0.0,false,1,1,5665.63,2852.25,12820.43,8,8,1602.55
CUST_000680,17,13.3333,false,13.3333,6.6667,26.6667,3.5069,0.2667,4,11,false,0.2,0.0667,0.0,false,1,3,3996.32,801.25,14253.7,15,15,950.25
CUST_000896,10,16.6667,false,25.0,16.6667,16.6667,3.2516,0.0833,1,11,false,0.0833,0.0,0.0,false,1,1,1238.98,828.36,22001.82,12,12,1833.48
CUST_000578,16,23.0769,false,15.3846,0.0,23.0769,3.1808,0.0769,1,12,false,0.0,0.0,0.0,false,1,1,628.77,2347.37,19622.3,13,13,1509.41
CUST_000268,12,22.2222,false,11.1111,22.2222,33.3333,2.9477,0.0,0,9,false,0.1111,0.0,0.0,false,1,1,576.81,683.22,13565.85,9,9,1507.32
CUST_000705,15,33.3333,false,0.0,33.3333,0.0,2.4194,0.0,0,9,false,0.0,0.0,0.0,false,1,1,2152.66,1045.38,13487.34,9,9,1498.59
CUST_000430,11,20.0,false,0.0,6.6667,26.6667,3.3232,0.0667,1,14,false,0.1333,0.0667,0.0,false,1,2,2384.48,814.68,24789.81,15,15,1652.65
CUST_000994,10,50.0,false,0.0,0.0,0.0,1.5,0.0,0,4,false,0.0,0.0,0.0,false,1,1,682.12,812.05,1963.69,4,4,490.92
CUST_000839,11,25.0,false,12.5,37.5,12.5,2.5,0.25,2,6,false,0.125,0.125,0.0,false,1,1,163.98,96.56,6104.09,8,8,763.01
CUST_000581,17,27.2727,false,9.0909,9.0909,45.4545,2.4131,0.0,0,11,false,0.0909,0.0909,0.0,false,1,1,498.98,796.25,27889.42,11,11,2535.4
CUST_000121,13,20.0,false,10.0,30.0,20.0,3.1219,0.3,3,7,false,0.0,0.0,0.0,false,1,1,106.57,168.94,9052.74,10,10,905.27
CUST_000599,11,22.2222,false,11.1111,11.1111,11.1111,2.7255,0.1111,1,8,false,0.3333,0.1111,0.0,false,1,3,1601.2,577.64,5667.72,9,9,629.75
CUST_000071,10,25.0,false,6.25,12.5,25.0,2.9528,0.0625,1,15,false,0.25,0.125,0.0,false,1,4,26144.36,4750.65,85638.25,16,16,5352.39
CUST_000243,17,15.3846,false,0.0,7.6923,30.7692,3.0851,0.0769,1,12,false,0.0769,0.0,0.0,false,1,1,491.62,588.04,6878.75,13,13,529.13
CUST_000748,18,28.5714,false,0.0,0.0,42.8571,2.5216,0.0,0,7,false,0.0,0.0,0.0,false,1,1,538.45,5853.03,29975.72,7,7,4282.25
CUST_000727,11,20.0,false,0.0,0.0,20.0,2.3219,0.4,2,3,false,0.0,0.0,0.0,false,1,1,707.59,1460.68,7583.72,5,5,1516.74
CUST_000385,12,66.6667,false,0.0,66.6667,33.3333,0.9183,0.0,0,3,false,0.3333,0.0,0.0,false,1,1,4354.21,4354.21,32860.77,3,3,10953.59
