user_id,is_launderer,aml_scenario
CUST_000022,false,none
CUST_000015,false,none
CUST_000482,false,none
CUST_000850,false,none
CUST_000576,false,none
CUST_000908,false,none
CUST_000646,false,none
CUST_000377,false,none
CUST_000330,false,none
CUST_000755,false,none
CUST_000208,false,none
CUST_000660,false,none
CUST_000689,false,none
CUST_000630,false,none
CUST_000218,false,none
CUST_000672,false,none
CUST_000380,false,none
CUST_000124,false,none
CUST_000994,false,none
CUST_000503,false,none
CUST_000721,false,none
CUST_000699,false,none
CUST_000765,false,none
CUST_000224,false,none
CUST_000340,false,none
CUST_000368,false,none
CUST_000058,false,none
CUST_000070,false,none
CUST_000007,false,none
CUST_000076,false,none
CUST_000123,false,none
CUST_000986,false,none
CUST_000833,false,none
CUST_000680,false,none
CUST_000836,false,none
CUST_000621,false,none
CUST_000388,false,none
CUST_000571,false,none
CUST_000569,false,none
CUST_000104,false,none
CUST_000238,false,none
CUST_000485,false,none
CUST_000988,false,none
CUST_000328,false,none
CUST_000195,false,none
CUST_000136,false,none
CUST_000936,false,none
CUST_000346,false,none
CUST_000516,false,none
CUST_000968,false,none
CUST_000157,false,none
CUST_000389,false,none
CUST_000578,false,none
CUST_000895,false,none
CUST_000090,false,none
CUST_000996,false,none
CUST_000666,false,none
CUST_000370,false,none
CUST_000920,false,none
CUST_000739,false,none
CUST_000527,false,none
CUST_000251,false,none
CUST_000295,false,none
CUST_000271,false,none
CUST_000434,false,none
CUST_000186,false,none
CUST_000971,false,none
CUST_000062,false,none
CUST_000606,false,none
CUST_000868,false,none
CUST_000099,false,none
CUST_000855,false,none
CUST_000991,false,none
CUST_000567,false,none
CUST_000628,false,none
CUST_000215,false,none
CUST_000054,false,none
CUST_000510,false,none
CUST_000445,false,none
CUST_000134,false,none
CUST_000163,false,none
CUST_000228,false,none
CUST_000916,false,none
CUST_000247,false,none
CUST_000700,true,smurfing
CUST_000614,false,none
CUST_000181,false,none
CUST_000272,true,smurfing
CUST_000363,false,none
CUST_000226,false,none
CUST_000144,false,none
CUST_000518,false,none
CUST_000467,false,none
CUST_000841,true,smurfing
CUST_000276,false,none
CUST_000171,false,none
CUST_000616,false,none
CUST_000962,false,none
CUST_000514,false,none
CUST_000620,false,none
CUST_000809,false,none
CUST_000601,false,none
CUST_000150,false,none
CUST_000830,false,none
CUST_000564,false,none
CUST_000872,false,none
CUST_000403,false,none
CUST_000027,false,none
CUST_000679,false,none
CUST_000497,false,none
CUST_000098,false,none
CUST_000607,false,none
CUST_000832,false,none
CUST_000816,false,none
CUST_000006,false,none
CUST_000753,false,none
CUST_000675,false,none
CUST_000117,false,none
CUST_000784,false,none
CUST_000860,false,none
CUST_000398,false,none
CUST_000082,false,none
CUST_000780,false,none
CUST_000804,false,none
CUST_000496,false,none
CUST_000785,false,none
CUST_000905,false,none
CUST_000999,true,circular_trading
CUST_000513,false,none
CUST_000919,false,none
CUST_000774,false,none
CUST_000033,false,none
CUST_000426,false,none
CUST_000474,false,none
CUST_000615,false,none
CUST_000565,false,none
CUST_000384,false,none
CUST_000484,false,none
CUST_000285,false,none
CUST_000165,false,none
CUST_000995,false,none
CUST_000477,false,none
CUST_000319,false,none
CUST_000494,false,none
CUST_000770,false,none
CUST_000292,false,none
CUST_000596,false,none
CUST_000588,false,none
CUST_000821,false,none
CUST_000806,false,none
CUST_000975,false,none
CUST_000172,false,none
CUST_000311,false,none
CUST_000004,false,none
CUST_000560,false,none
CUST_000812,false,none
CUST_000386,false,none
CUST_000305,false,none
CUST_000115,false,none
CUST_000105,false,none
CUST_000554,false,none
CUST_000116,false,none
CUST_000089,false,none
CUST_000495,false,none
CUST_000539,false,none
CUST_000400,false,none
CUST_000325,false,none
CUST_000987,false,none
CUST_000268,false,none
CUST_000248,false,none
CUST_000954,false,none
CUST_000381,false,none
CUST_000839,false,none
CUST_000097,false,none
CUST_000391,false,none
CUST_000103,false,none
CUST_000490,false,none
CUST_000941,false,none
CUST_000676,false,none
CUST_000803,false,none
CUST_000286,false,none
CUST_000395,false,none
CUST_000463,false,none
CUST_000933,false,none
CUST_000627,false,none
CUST_000964,false,none
CUST_000523,false,none
CUST_000502,false,none
CUST_000360,false,none
CUST_000649,false,none
CUST_000283,false,none
CUST_000677,false,none
CUST_000713,false,none
CUST_000546,false,none
